number	hits	start	end	length	score	scaff	strand	taxon_name	taxon_id
43	WP_402957359.1,WP_402957365.1	208963	215165	2697	1640	NZ_JBIWDO010000005.1		GCF_044762055.1	3364397
44	WP_402874229.1,WP_427590988.1	345842	351001	2679	1640	NZ_JBNNML010000001.1		GCF_050272735.1	3390607
45	WP_402874229.1,WP_427687851.1	134806	139938	2679	1640	NZ_JBNNSR010000006.1		GCF_050277925.1	3390616
46	WP_427651148.1,WP_402874229.1	206990	212167	2697	1640	NZ_JBNNST010000007.1		GCF_050278025.1	3390615
47	WP_402874229.1,WP_427590988.1	880688	885847	2679	1640	NZ_JBNNSY010000001.1		GCF_050278185.1	3390613
48	WP_417899701.1,WP_417899703.1	1084447	1088829	2724	1628	NZ_CP158164.1		GCF_048270625.1	3160967
49	WP_115893202.1,WP_220352877.1,WP_115893204.1	41602	46906	3386	1616	NZ_QTLC01000004.1		GCF_003382325.1	156205
50	WP_025028229.1,WP_025028232.1,WP_464226102.1	57165	66188	3486	1606	NZ_AP043734.1		GCF_055397565.1	1418
51	WP_411802007.1,WP_411802008.1,WP_265627463.1	33935	37736	3918	1605	NZ_JARSGO010000001.1		GCF_035808635.1	1648923
52	WP_411802007.1,WP_411802008.1,WP_265627463.1	34021	37822	3918	1605	NZ_JARLZW010000010.1		GCF_036210515.1	1648923
53	WP_042461334.1,WP_042461349.1	35541	42402	2667	1595	NZ_HG942074.1		GCF_000612665.1	1347369
54	WP_116350460.1,WP_116350463.1	303157	309174	2724	1593	NZ_QUQV01000001.1		GCF_003400205.1	2293325
55	WP_046525541.1,WP_046525544.1	14008	20353	2655	1576	NZ_LAYY01000034.1		GCF_000986785.1	1408103
56	WP_215030745.1,WP_215030761.1	3797	11099	2865	1564	NZ_JAGGQL010000005.1		GCF_018613315.1	2819123
57	WP_475427764.1,WP_475427769.1	2090745	2098064	2865	1564	NZ_CM149675.1		GCF_056173465.1	3569821
58	WP_462412891.1,WP_462412893.1	445551	450016	2667	1561	NZ_JBUCKX010000004.1		GCF_054950115.1	3477506
59	WP_310198050.1,WP_310198057.1	76469	81963	2721	1558	NZ_JAVDVZ010000011.1		GCF_031457145.1	86668
60	WP_230504971.1,WP_230504976.1	10510	18064	2751	1550	NZ_CAKJTJ010000050.1		GCF_917563925.1	2880967
61	WP_412995014.1,WP_412995019.1	3211452	3216833	2718	1542	NZ_JBDFLL010000001.1		GCF_047237705.1	3132212
62	WP_034677067.1,WP_034677076.1	11138	16997	2718	1537	NZ_BCVA01000054.1		GCF_001591505.1	1348654
63	WP_034677076.1,WP_034677067.1	40061	45920	2718	1537	NZ_JARSIV010000053.1		GCF_035809615.1	86668
64	WP_419887514.1,WP_419887516.1	3825779	3831534	2718	1537	NZ_CP183883.1		GCF_048572935.1	86668
65	WP_377878076.1,WP_377878078.1,WP_377878079.1	5690	12523	5076	1536	NZ_JBHUJX010000021.1		GCF_042683745.1	3351842
66	WP_065384123.1,WP_065384126.1	738278	744186	2640	1528	NZ_MAQX01000001.1		GCF_001682865.1	1743142
67	WP_406686537.1,WP_406686538.1,WP_406686539.1	3924162	3928010	3846	1528	NZ_CP140482.1		GCF_045278735.1	218284
68	WP_179595939.1,WP_179595942.1	530565	536032	2718	1521	NZ_JACCBX010000002.1		GCF_013409995.1	3035913
69	WP_306074843.1,WP_306074846.1	1807526	1812987	2718	1521	NZ_JAROBZ020000001.1		GCF_030732025.2	3035913
70	WP_402622449.1,WP_402622159.1	77540	82945	2706	1514	NZ_JBIVOI010000010.1		GCF_044754045.1	3364297
71	WP_283860340.1,WP_283860343.1	3259926	3265342	2718	1510	NZ_CP126093.1		GCF_030123065.1	3047871
72	WP_224875594.1,WP_224874912.1	797702	802855	2766	1504	NZ_JAIVAR010000001.1		GCF_020171925.1	189382
73	WP_373428138.1,WP_307195369.1	2909040	2914467	2706	1489	NZ_JAUSZQ010000002.1		GCF_030817695.1	86668
74	WP_374934673.1,WP_374934676.1	59138	64561	2718	1489	NZ_JBDZYE010000015.1		GCF_041937505.1	3035913
75	WP_082233110.1,WP_082233113.1	1180623	1185743	2730	1455	NZ_LT800499.1		GCF_900166625.1	1926286
76	WP_144533412.1,WP_144533414.1,WP_144533420.1	692758	697432	3135	1447	NZ_VDMZ01000003.1		GCF_007665325.1	1408
77	WP_158598308.1,WP_158598310.1,WP_121681001.1	105352	111228	3378	1443	NZ_RCVZ01000008.1		GCF_003668575.1	2478915
78	WP_309523949.1,WP_309523953.1	72307	79966	2916	1428	NZ_JAVIVS010000001.1		GCF_031324245.1	1740721
79	WP_034640188.1,WP_034640210.1	33309	40634	2832	1421	NZ_JOTN01000012.1		GCF_000712595.1	574376
80	WP_369899610.1,WP_369899616.1	2334328	2341271	2832	1421	NZ_CP165965.1		GCF_041225435.1	574376
81	WP_034640210.1,WP_034640188.1	61645	68970	2832	1421	NZ_CBCSJC010000017.1		GCF_965139495.1	574376
82	WP_429670152.1,WP_429670153.1,WP_429670156.1	50992	56776	3192	1413	NZ_JBCNCB010000048.1		GCF_050478945.1	1392
83	WP_429670156.1,WP_429670153.1,WP_429670446.1	7374	13173	3207	1413	NZ_JBCNIA010000048.1		GCF_050482525.1	1392
84	WP_380772463.1,WP_380772466.1	309795	315078	2547	1408	NZ_JBHUEO010000005.1		GCF_042680885.1	1274353
85	WP_400719827.1,WP_400719835.1	163876	169520	1977	1405	NZ_JBIVRU010000001.1		GCF_044755845.1	3364131
86	WP_211741400.1,WP_211741403.1,WP_211741407.1	436167	444941	3186	1401	NZ_JAGXBY010000002.1		GCF_018310345.1	1944633
87	WP_048824041.1,WP_048824044.1	1091574	1097831	2826	1393	NZ_CCXR01000001.1		GCF_000821085.1	1476857
88	WP_059173150.1,WP_059173153.1	410788	416489	2700	1371	NZ_LMTI01000005.1		GCF_001510665.1	1679166
89	WP_244682469.1,WP_244682472.1	149950	156468	2844	1369	NZ_JALIRM010000011.1		GCF_022900255.1	1347903
90	WP_244682469.1,WP_244682472.1	149926	156444	2844	1369	NZ_JAUSUO010000008.1		GCF_030814045.1	1347903
91	WP_244682469.1,WP_244682472.1	149957	156475	2844	1369	NZ_JBHLZM010000011.1		GCF_042429915.1	1347903
92	WP_244682472.1,WP_244682469.1	8453	14971	2844	1369	NZ_JBHLSU010000005.1		GCF_042434825.1	1347903
93	WP_100543383.1,WP_100543384.1	67172	69368	2190	1345	NZ_PHQY01000612.1		GCF_002803495.1	582475
94	WP_340851301.1,WP_340851306.1	87544	93317	2703	1324	NZ_JBBOOI010000001.1		GCF_038003025.1	2921576
95	WP_406910204.1,WP_406910206.1	50899	56672	2703	1324	NZ_JBIQDP010000026.1		GCF_045370945.1	3374292
96	WP_243521178.1,WP_243521179.1	2721828	2725696	3870	1318	NZ_CP064266.1		GCF_022811845.1	64104
97	WP_240257101.1,WP_240257102.1	21062	24957	3897	1315	NZ_JAKTTI010000035.1		GCF_022427965.1	2918902
98	WP_115822132.1,WP_115822135.1	339899	345161	2709	1308	NZ_QUAE01000001.1		GCF_003386945.1	156205
99	WP_089651077.1,WP_406946048.1	1686879	1692141	2709	1308	NZ_CP174345.1		GCF_045401165.1	3381356
100	WP_089651077.1,WP_089651080.1	278777	284039	2709	1308	NZ_FNIZ01000002.1		GCF_900104185.1	240303
101	WP_095370701.1,WP_095370702.1	1417990	1421816	3828	1302	NZ_CP022983.1		GCF_002276165.1	859143
102	WP_224939021.1,WP_224939022.1	8322	12151	3831	1302	NZ_JAIVAM010000018.1		GCF_020171845.1	859143
103	WP_251163292.1,WP_251163293.1	78725	82554	3831	1302	NZ_JAMAWG010000009.1		GCF_023713375.1	859143
104	WP_251163292.1,WP_251163293.1	78725	82554	3831	1302	NZ_JAMAWC010000009.1		GCF_023713445.1	859143
105	WP_307315314.1,WP_307315317.1	268988	272814	3828	1302	NZ_JAUSTS010000003.1		GCF_030812975.1	859143
106	WP_322910207.1,WP_322910208.1	243233	247059	3828	1302	NZ_JAYEFF010000004.1		GCF_034651445.1	3108468
107	WP_289432794.1,WP_289432795.1	642919	646748	3831	1302	NZ_JAUCFR010000004.1		GCF_030348365.1	859143
108	WP_307315314.1,WP_328198898.1	101735	105561	3828	1302	NZ_JARMDJ010000017.1		GCF_036212305.1	859143
109	WP_341104570.1,WP_341104572.1	1064383	1068212	3831	1302	NZ_JBBOWA010000001.1		GCF_038006865.1	2921691
110	WP_322910208.1,WP_341049708.1	569712	573538	3828	1302	NZ_JBBOWW010000001.1		GCF_038007265.1	2921649
111	WP_341054102.1,WP_341054104.1	690768	694594	3828	1302	NZ_JBBOWZ010000001.1		GCF_038007345.1	2921621
112	WP_095370702.1,WP_340977719.1	3681632	3685458	3828	1302	NZ_JBBOXM010000001.1		GCF_038007625.1	2921421
113	WP_341098453.1,WP_341098454.1	4061025	4064851	3828	1302	NZ_JBBPAO010000001.1		GCF_038009245.1	2921689
114	WP_342488813.1,WP_342488814.1	573020	576846	3828	1302	NZ_CP151998.1		GCF_038595015.1	2921700
115	WP_307315317.1,WP_307315314.1	29461	33287	3828	1302	NZ_JBHRZR010000012.1		GCF_042649545.1	859143
116	WP_404293429.1,WP_404293432.1	597758	601587	3831	1302	NZ_CP085254.1		GCF_044790165.1	859143
117	WP_404293429.1,WP_404293432.1	603834	607663	3831	1302	NZ_CP085020.1		GCF_044794875.1	859143
118	WP_251163292.1,WP_251163293.1	78976	82805	3831	1302	NZ_JBQCNB010000012.1		GCF_051964595.1	859143
119	WP_224939022.1,WP_224939021.1	738290	742119	3831	1302	NZ_CM126253.1		GCF_052373855.1	859143
120	WP_474908679.1,WP_474908678.1	20647	24476	3831	1302	NZ_JBSWWV010000023.1		GCF_056160265.1	859143
121	WP_461610904.1,WP_461610905.1	767292	771121	3831	1302	NZ_JBTJCJ010000002.1		GCF_054864155.1	859143
122	WP_474908678.1,WP_474908679.1	3728852	3732681	3831	1302	NZ_JBSWUE010000017.1		GCF_056158885.1	859143
123	WP_342673073.1,WP_281202886.1	29452	33257	3807	1302	NZ_CANMJM010000012.1		GCF_947498265.1	859143
124	WP_191275905.1,WP_191275907.1	17811	21685	3879	1301	NZ_BNDS01000023.1		GCF_014656545.1	2759023
125	WP_060671298.1,WP_060671304.1	314105	320242	2745	1298	NZ_LIXZ01000002.1		GCF_001305855.1	218284
126	WP_053362852.1,WP_197280063.1	3188807	3192621	3819	1293	NZ_LIGG01000001.1		GCF_001273925.1	1684142
127	WP_335704340.1,WP_335704341.1	56971	60878	3912	1292	NZ_JBALOQ010000022.1		GCF_036962705.1	3122960
128	WP_323651417.1,WP_323651418.1	26829	29267	2430	1284	NZ_JAIQVH010000026.1		GCF_035064485.1	582475
129	WP_427482654.1,WP_427482656.1	207068	209515	2439	1284	NZ_JBNNUW010000003.1		GCF_050280125.1	3390578
130	WP_427444372.1,WP_427444375.1	106364	108802	2430	1284	NZ_JBNNVB010000001.1		GCF_050280325.1	3390576
131	WP_411257161.1,WP_411257162.1	6139	10001	3867	1280	NZ_JAWVNQ010000022.1		GCF_046591715.1	86668
132	WP_046559397.1,WP_044053016.1	600584	605504	3084	1279	NZ_CP011346.1		GCF_000987825.1	492670
133	WP_044053016.1,WP_044053019.1	85260	90180	3084	1279	NZ_LMAT01000011.1		GCF_001469685.1	1390
134	WP_044053019.1,WP_060386786.1	587663	592583	3084	1279	NZ_LN999829.1		GCF_001536925.1	492670
135	WP_044053016.1,WP_044053019.1	736090	741010	3084	1279	NZ_CP018152.1		GCF_001889285.1	1390
136	WP_044053019.1,WP_044053016.1	605351	610271	3084	1279	NZ_CP016395.1		GCF_001723585.1	492670
137	WP_044053019.1,WP_044053016.1	550411	555331	3084	1279	NZ_CP031880.1		GCF_003441635.1	492670
138	WP_044053019.1,WP_044053016.1	605251	610171	3084	1279	NZ_CP051011.1		GCF_012275165.1	492670
139	WP_044053019.1,WP_060386786.1	1576911	1581831	3084	1279	NZ_CP046386.1		GCF_009734085.1	492670
140	WP_044053019.1,WP_044053016.1	599293	604213	3084	1279	NZ_CP047157.1		GCF_009834085.1	492670
141	WP_160182440.1,WP_160182443.1	668140	673063	3087	1279	NZ_CP047644.1		GCF_009906915.1	2665175
142	WP_044053016.1,WP_046559397.1	248158	253078	3084	1279	NZ_CP035533.1		GCF_015291865.1	492670
143	WP_044053019.1,WP_044053016.1	19009	23929	3084	1279	NZ_WOVK01000004.1		GCF_011317125.1	492670
144	WP_044053019.1,WP_044053016.1	19009	23929	3084	1279	NZ_WOYD01000005.1		GCF_011421515.1	492670
145	WP_044053016.1,WP_044053019.1	329611	334531	3084	1279	NZ_CP031694.1		GCF_009914175.1	492670
146	WP_044053019.1,WP_044053016.1	18895	23815	3084	1279	NZ_NKBE01000004.1		GCF_009935125.1	492670
147	WP_044053019.1,WP_044053016.1	18982	23902	3084	1279	NZ_NKBF01000006.1		GCF_009935175.1	492670
148	WP_044053019.1,WP_044053016.1	18971	23891	3084	1279	NZ_VFLN01000007.1		GCF_013131655.1	492670
149	WP_044053019.1,WP_160182443.1	2520451	2525374	3087	1279	NZ_CP047119.1		GCF_014706595.1	492670
150	WP_044053019.1,WP_044053016.1	599657	604577	3084	1279	NZ_CP072843.1		GCF_017948225.1	492670
151	WP_044053019.1,WP_044053016.1	588022	592942	3084	1279	NZ_CP087957.1		GCF_020995365.1	492670
152	WP_044053019.1,WP_044053016.1	599486	604406	3084	1279	NZ_CP075547.1		GCF_018502525.1	1390
153	WP_160182443.1,WP_160182440.1	1287505	1292428	3087	1279	NZ_JAHHQD010000003.1		GCF_018729415.1	492670
154	WP_046559397.1,WP_044053016.1	2502305	2507225	3084	1279	NZ_CP065159.1		GCF_017357905.1	1390
155	WP_046559397.1,WP_044053016.1	600752	605672	3084	1279	NZ_CP072791.1		GCF_019449395.1	492670
156	WP_044053016.1,WP_044053019.1	519017	523937	3084	1279	NZ_CP067043.1		GCF_019551675.1	492670
157	WP_044053016.1,WP_046559397.1	253888	258808	3084	1279	NZ_JAHVIU010000005.1		GCF_019801565.1	492670
158	WP_046559397.1,WP_044053016.1	19076	23996	3084	1279	NZ_JAIVMA010000008.1		GCF_020176675.1	492670
159	WP_044053019.1,WP_044053016.1	586421	591341	3084	1279	NZ_CP092439.1		GCF_022385235.1	492670
160	WP_160182443.1,WP_160182440.1	19633	24556	3087	1279	NZ_JAPHWC010000012.1		GCF_026241365.1	2994530
161	WP_046559397.1,WP_044053016.1	19048	23968	3084	1279	NZ_JAPIUU010000013.1		GCF_026241745.1	492670
162	WP_044053019.1,WP_044053016.1	597979	602899	3084	1279	NZ_CP117945.1		GCF_029016665.1	492670
163	WP_044053019.1,WP_044053016.1	604256	609176	3084	1279	NZ_CP125289.1		GCF_030028335.1	492670
164	WP_044053016.1,WP_044053019.1	140577	145497	3084	1279	NZ_JAQDIR010000007.1		GCF_027663005.1	492670
165	WP_044053019.1,WP_044053016.1	599294	604214	3084	1279	NZ_CP115604.1		GCF_027857035.1	492670
166	WP_046559397.1,WP_044053016.1	600701	605621	3084	1279	NZ_CP121465.1		GCF_029691445.1	492670
167	WP_044053016.1,WP_046559397.1	79875	84795	3084	1279	NZ_BSTV01000007.1		GCF_030269725.1	1390
168	WP_044053019.1,WP_044053016.1	543026	547946	3084	1279	NZ_CP127243.1		GCF_030284565.1	1390
169	WP_044053019.1,WP_160182443.1	19115	24038	3087	1279	NZ_JAXUFL010000009.1		GCF_034555015.1	492670
170	WP_044053016.1,WP_044053019.1	2322886	2327806	3084	1279	NZ_JAUCFX010000005.1		GCF_030348305.1	492670
171	WP_044053016.1,WP_046559397.1	1636335	1641255	3084	1279	NZ_CP134775.1		GCF_031883715.1	492670
172	WP_044053019.1,WP_044053016.1	599587	604507	3084	1279	NZ_CP130445.1		GCF_030520205.1	1390
173	WP_044053019.1,WP_044053016.1	598378	603298	3084	1279	NZ_CP130608.1		GCF_030544925.1	492670
174	WP_044053019.1,WP_044053016.1	18897	23817	3084	1279	NZ_JARSND010000018.1		GCF_035811855.1	492670
175	WP_044053019.1,WP_044053016.1	18901	23821	3084	1279	NZ_JARSQB010000012.1		GCF_035813375.1	492670
176	WP_044053016.1,WP_046559397.1	1507142	1512062	3084	1279	NZ_JAVLSS010000002.1		GCF_036600835.1	492670
177	WP_044053016.1,WP_046559397.1	3452736	3457656	3084	1279	NZ_CP144358.1		GCF_036549115.1	492670
178	WP_044053019.1,WP_160182443.1	19009	23932	3087	1279	NZ_VKIC01000007.1		GCF_040337675.1	492670
179	WP_044053019.1,WP_044053016.1	19026	23946	3084	1279	NZ_JBCDMH010000009.1		GCF_039605725.1	3140352
180	WP_044053016.1,WP_044053019.1	147546	152466	3084	1279	NZ_JAZBHE010000005.1		GCF_037623985.1	492670
181	WP_044053019.1,WP_044053016.1	599487	604407	3084	1279	NZ_CP169877.1		GCF_042159825.1	1390
182	WP_044053019.1,WP_044053016.1	18747	23667	3084	1279	NZ_JBFSEW010000007.1		GCF_040965335.1	492670
183	WP_044053019.1,WP_160182443.1	18955	23878	3087	1279	NZ_JAXCMK010000014.1		GCF_043520075.1	492670
184	WP_044053019.1,WP_044053016.1	586422	591342	3084	1279	NZ_JBGTYF010000001.1		GCF_041729945.1	492670
185	WP_044053019.1,WP_044053016.1	18775	23695	3084	1279	NZ_JBKIWL010000005.1		GCF_046599285.1	867642
186	WP_044053016.1,WP_046559397.1	254375	259295	3084	1279	NZ_JBKJHE010000006.1		GCF_046613715.1	492670
187	WP_046559397.1,WP_044053016.1	600705	605625	3084	1279	NZ_CP176523.1		GCF_046267865.1	1390
188	WP_044053019.1,WP_044053016.1	597776	602696	3084	1279	NZ_CP173038.1		GCF_044784305.1	492670
189	WP_044053019.1,WP_044053016.1	588930	593850	3084	1279	NZ_CP148060.1		GCF_049354995.1	492670
190	WP_044053016.1,WP_044053019.1	2405296	2410216	3084	1279	NZ_JBMPXV010000002.1		GCF_049367435.1	492670
191	WP_046559397.1,WP_044053016.1	583505	588425	3084	1279	NZ_CP187936.1		GCF_049942705.1	492670
192	WP_044053019.1,WP_044053016.1	637242	642162	3084	1279	NZ_CP182571.1		GCF_048296745.1	492670
193	WP_046559397.1,WP_044053016.1	19030	23950	3084	1279	NZ_JBJOUE010000009.1		GCF_045801055.1	492670
194	WP_044053016.1,WP_044053019.1	2405296	2410216	3084	1279	NZ_JBMPZG010000003.1		GCF_049368855.1	492670
195	WP_044053019.1,WP_044053016.1	597857	602777	3084	1279	NZ_CP183293.1		GCF_048541545.1	492670
196	WP_044053019.1,WP_044053016.1	604437	609357	3084	1279	NZ_CP183947.1		GCF_048585455.1	492670
197	WP_044053016.1,WP_044053019.1	2256897	2261817	3084	1279	NZ_JBKCQZ010000001.1		GCF_046312375.1	492670
198	WP_416515837.1,WP_044053016.1	588104	593024	3084	1279	NZ_CP182170.1		GCF_048013385.1	492670
199	WP_046559397.1,WP_044053016.1	502564	507484	3084	1279	NZ_CP118770.1		GCF_046115415.1	492670
200	WP_044053019.1,WP_044053016.1	18751	23671	3084	1279	NZ_JBNVTN010000009.1		GCF_050412515.1	1390
201	WP_044053016.1,WP_044053019.1	1377927	1382847	3084	1279	NZ_CP148042.1		GCF_051128625.1	492670
202	WP_044053016.1,WP_046559397.1	79839	84759	3084	1279	NZ_JBNXVT010000009.1		GCF_050565505.1	492670
203	WP_044053019.1,WP_044053016.1	599487	604407	3084	1279	NZ_CP199389.1		GCF_052568175.1	492670
204	WP_044053019.1,WP_044053016.1	608871	613791	3084	1279	NZ_CP196934.1		GCF_051940895.1	492670
205	WP_044053019.1,WP_044053016.1	605253	610173	3084	1279	NZ_CP195800.1		GCF_051472655.1	492670
206	WP_044053019.1,WP_044053016.1	586422	591342	3084	1279	NZ_CP196162.1		GCF_051549775.1	492670
207	WP_160182443.1,WP_160182440.1	19647	24570	3087	1279	NZ_JBSEED010000023.1		GCF_053569555.1	492670
208	WP_044053019.1,WP_044053016.1	587489	592409	3084	1279	NZ_CM149634.1		GCF_056163325.1	492670
209	WP_044053016.1,WP_044053019.1	259021	263941	3084	1279	NZ_JBTRFE010000005.1		GCF_054509705.1	492670
210	WP_044053016.1,WP_044053019.1	3503485	3508405	3084	1279	NZ_CM146090.1		GCF_055690645.1	492670
211	WP_044053019.1,WP_160182443.1	663073	667996	3087	1279	NZ_CM145514.1		GCF_055523575.1	492670
212	WP_044053019.1,WP_044053016.1	588021	592941	3084	1279	NZ_CM148697.1		GCF_056135895.1	492670
213	WP_042982557.1,WP_042982559.1	3537144	3541009	3867	1271	NZ_JMQC01000008.1		GCF_000746925.1	2338372
214	WP_042982559.1,WP_042982557.1	28906	32771	3867	1271	NZ_QVOD01000018.1		GCF_003428195.1	2338372
215	WP_269411479.1,WP_269411480.1	803595	807490	3897	1265	NZ_CP114176.1		GCF_027186265.1	2911514
216	WP_367746854.1,WP_367746855.1	1823	5718	3897	1265	NZ_JBFNXI010000015.1		GCF_040812445.1	3163028
217	WP_251556446.1,WP_251556452.1	224148	228037	3891	1264	NZ_JAMBNR010000002.1		GCF_023715205.1	1643336
218	WP_251435051.1,WP_251435054.1	24006	27895	3891	1264	NZ_JAMBNU010000019.1		GCF_023715265.1	1643336
219	WP_182503909.1,WP_182503912.1	22382	29862	2598	1263	NZ_JACJHX010000023.1		GCF_014138605.1	1501239
220	WP_105989004.1,WP_105989005.1	132758	136623	3870	1257	NZ_PVNJ01000001.1		GCF_002994535.1	1155617
221	WP_105989005.1,WP_212113876.1	455172	459037	3870	1257	NZ_PHKR01000002.1		GCF_018221505.1	1396
222	WP_277492200.1,WP_277492201.1	174849	178714	3870	1257	NZ_JARPPI010000001.1		GCF_029479395.1	1396
223	WP_274310592.1,WP_274310593.1	175308	179173	3870	1257	NZ_JARABA010000002.1		GCF_028745775.1	1396
224	WP_105989005.1,WP_212113876.1	454481	458346	3870	1257	NZ_JBCMZR010000013.1		GCF_050477645.1	1392
225	WP_212113876.1,WP_105989005.1	48669	52534	3870	1257	NZ_JBCMZW010000001.1		GCF_050477755.1	1392
226	WP_212113876.1,WP_105989005.1	48593	52458	3870	1257	NZ_JBCMZX010000016.1		GCF_050477785.1	1392
