Organism	Scaffold	Start	End	Score	WP_020634191.1	WP_020634193.1	WP_020634194.1	WP_020634195.1	WP_020634196.1	WP_020634197.1	WP_020634198.1	WP_020634199.1	WP_020634200.1	WP_020634201.1	WP_020634202.1	WP_020634203.1	WP_143267610.1
GCF_049903595.1	NZ_CP094436.1	1211127	1214992	1251.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_048296745.1	NZ_CP182571.1	637242	642162	1279.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_040940185.1	NZ_JACEHC010000004.1	199191	203056	1217.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_035816175.1	NZ_JARSWF010000007.1	30407	34272	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_002570225.1	NZ_NVHS01000023.1	133542	137407	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_035807335.1	NZ_JARSDZ010000002.1	290646	294511	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_016834515.1	NZ_CP069244.1	569508	573373	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_040796985.1	NZ_JBFNPN010000018.1	88243	92108	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_040796985.1	NZ_JBFNPN010000010.1	70245	75048	1150.0000	0	0	1	0	1	0	0	0	0	0	0	0	0
GCF_000743825.1	NZ_KN050651.1	4527467	4531332	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_007678225.1	NZ_VEEF01000081.1	2736	5074	1160.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_000832485.1	NZ_CP009335.1	2393170	2397035	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_049219385.1	NZ_JBMMKL010000001.1	1952056	1955921	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_029857565.1	NZ_CP187660.1	1668428	1670757	1187.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_029912275.1	NZ_JARJDN010000002.1	565331	569196	1217.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_051915925.1	NZ_JBQAFQ010000004.1	475805	479670	1234.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_035823615.1	NZ_JARTBW010000011.1	267618	269947	1187.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_036209705.1	NZ_JARLYI010000008.1	98649	102514	1224.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_017813995.1	NZ_JAGJDP010000005.1	36019	39884	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_036964805.1	NZ_JBAMFT010000003.1	296011	299876	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_051781285.1	NZ_JBPWJA010000003.1	430079	433944	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_018966865.1	NZ_CP076653.1	3914898	3918763	1201.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_022663415.1	NZ_JAKUFK010000016.1	16681	20546	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_050464085.1	NZ_JBCMRM010000008.1	400497	404362	1201.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_001273105.1	NZ_LGIF01000021.1	471834	475699	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_000513155.1	NZ_BAUY01000046.1	66366	70231	1201.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_039680825.1	NZ_JBDKVP010000002.1	945823	949688	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_037120815.1	NZ_JBBAHD010000009.1	108225	112090	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_027716945.1	NZ_JAQFVC010000015.1	110705	114570	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_027716945.1	NZ_JAQFVC010000039.1	5605	10408	1150.0000	0	0	1	0	1	0	0	0	0	0	0	0	0
GCF_029479025.1	NZ_JARPPU010000013.1	73830	77695	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_041262955.1	NZ_CP160829.1	4432718	4436583	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_035618175.1	NZ_JAYGBK010000001.1	1283016	1286881	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_035618175.1	NZ_JAYGBK010000002.1	86271	91074	1150.0000	0	0	1	0	1	0	0	0	0	0	0	0	0
GCF_027709585.1	NZ_JAQFMO010000004.1	223453	227318	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_002021355.1	NZ_MQTC01000004.1	83386	87251	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_029536455.1	NZ_JARPRP010000006.1	87389	91254	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_051782045.1	NZ_JBPWKM010000007.1	36044	39909	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_000290975.2	NZ_KE150044.1	476309	480174	1201.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_000022505.1	NC_012472.1	1212491	1216356	1251.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_007682155.1	NZ_VEMI01000002.1	26918	30783	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_900176925.1	NZ_FWYW01000070.1	39090	42955	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_046576325.1	NZ_JAWMBV010000017.1	70245	75048	1150.0000	0	0	1	0	1	0	0	0	0	0	0	0	0
GCF_046576325.1	NZ_JAWMBV010000007.1	51001	54866	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_049219165.1	NZ_JBMMKG010000001.1	1275210	1279075	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_049219165.1	NZ_JBMMKG010000002.1	47763	52566	1150.0000	0	0	1	0	1	0	0	0	0	0	0	0	0
GCF_030028335.1	NZ_CP125289.1	604256	609176	1279.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_027716625.1	NZ_JAQFUX010000002.1	52475	56340	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_016650935.1	NZ_JAEKEU010000009.1	621235	625100	1201.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_051782685.1	NZ_JBPWLS010000007.1	36044	39909	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_049902115.1	NZ_CP094449.1	1180391	1184256	1251.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_019599585.1	NZ_JAIFAE010000014.1	145855	148184	1187.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_001277085.1	NZ_LHUN01000008.1	246296	250161	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_000782885.1	NZ_JTAQ01000031.1	566590	570455	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_000398985.1	NZ_KB976153.1	1219434	1223299	1201.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_056237595.1	NZ_CM149702.1	1024407	1026736	1187.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_002569665.1	NZ_NVGF01000011.1	365766	369631	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_000181835.1	NZ_ABJC01000006.1	16774	20639	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_052646935.1	NZ_JBQXOZ010000002.1	562201	566066	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_041530635.1	NZ_JBFDTV010000006.1	194170	198035	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_965139495.1	NZ_CBCSJC010000017.1	61645	68970	1421.0000	0	0	0	0	1	0	0	1	0	0	0	0	0
GCF_051781585.1	NZ_JBPWJP010000002.1	200500	204365	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_041106215.1	NZ_JBGCUA010000008.1	238444	242309	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_027716865.1	NZ_JAQFVB010000038.1	6070	10873	1150.0000	0	0	1	0	1	0	0	0	0	0	0	0	0
GCF_027716865.1	NZ_JAQFVB010000016.1	24409	28274	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_016027575.1	NZ_CP065743.1	2146480	2150345	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_050630105.1	NZ_JBNTPX010000005.1	100610	104475	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_050630105.1	NZ_JBNTPX010000009.1	173170	177035	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_000782955.1	NZ_JSZP01000044.1	442730	446595	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_018141025.1	NZ_CP047366.1	1271628	1275493	1200.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_054765575.1	NZ_BAAICH010000032.1	12946	16811	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_036209165.1	NZ_JARLXI010000013.1	177721	181586	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_003410355.1	NZ_CP031643.1	1224911	1228776	1217.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_050627455.1	NZ_JBNTKV010000019.1	21842	25707	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_002118205.1	NZ_MRWS01000037.1	9608	13473	1201.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_022664315.1	NZ_JAKUHE010000009.1	25110	28975	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_051783465.1	NZ_JBPWNF010000008.1	55111	58976	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_025908215.1	NZ_CP109651.1	1574132	1576461	1187.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_965139025.1	NZ_CBCSIA010000003.1	180293	184158	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_024741115.1	NZ_JANSKC010000329.1	6118	9983	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_001049895.1	NZ_CVPE01000006.1	280516	282969	1214.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_051916145.1	NZ_JBQAGB010000013.1	73148	77951	1150.0000	0	0	1	0	1	0	0	0	0	0	0	0	0
GCF_051916145.1	NZ_JBQAGB010000003.1	215466	219331	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_000793545.1	NZ_JSZX01000031.1	471657	475522	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_044761135.1	NZ_JBIWBS010000001.1	148773	158331	2151.0000	0	2	0	0	1	0	0	0	0	0	0	0	0
GCF_051915345.1	NZ_JBQAEM010000018.1	6678	10543	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_022221125.1	NZ_CP076192.1	1219726	1223591	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_050171765.1	NZ_JBNLXW010000001.1	377742	381607	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_038630785.1	NZ_CP152042.1	1617679	1620008	1187.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_036212265.1	NZ_JARMDH010000006.1	537637	541502	1201.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_016026855.1	NZ_CP065739.1	5107480	5111345	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_050510715.1	NZ_JBNKIO010000001.1	772743	778126	1182.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_022221005.1	NZ_CP076176.1	1219611	1223476	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_029536535.1	NZ_JARPRT010000002.1	200527	204392	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_054459055.1	NZ_JBTLAZ010000003.1	562094	565959	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_050464165.1	NZ_JBCMRO010000023.1	26853	30718	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_050171875.1	NZ_JBNLXY010000008.1	13915	17780	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_015844725.1	NZ_LDGF01000109.1	107349	111214	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_035807435.1	NZ_JARSEE010000005.1	420546	422875	1187.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_002911945.1	NZ_PHSL01000028.1	35805	39670	1217.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_036210445.1	NZ_JARLZU010000005.1	172524	176389	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_036210445.1	NZ_JARLZU010000040.1	17474	22277	1150.0000	0	0	1	0	1	0	0	0	0	0	0	0	0
GCF_038008405.1	NZ_JBBOZC010000001.1	4278710	4282575	1201.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_042583685.1	NZ_JBHOQF010000012.1	70372	75175	1150.0000	0	0	1	0	1	0	0	0	0	0	0	0	0
GCF_042583685.1	NZ_JBHOQF010000005.1	211090	214955	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_965138965.1	NZ_CBCSHS010000004.1	167385	171250	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_000832425.1	NZ_CP009325.1	3989569	3993434	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_022662775.1	NZ_JAKUEF010000001.1	327753	331618	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_001677975.1	NZ_LZRH01000001.1	713353	715682	1187.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_027709355.1	NZ_JAQFMF010000023.1	23312	27177	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_004330345.1	NZ_SJQD01000003.1	233806	237671	1201.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_015845055.1	NZ_LDGT01000006.1	121005	124870	1201.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_002146825.1	NZ_NFDL01000027.1	46748	50613	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_001274775.1	NZ_LGUE01000004.1	752111	757494	1182.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_051916085.1	NZ_JBQAFY010000004.1	444619	448484	1234.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_030222915.1	NZ_JAPNPW010000008.1	200550	204415	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_027711725.1	NZ_JAQFPB010000013.1	60676	65479	1150.0000	0	0	1	0	1	0	0	0	0	0	0	0	0
GCF_027711725.1	NZ_JAQFPB010000004.1	150174	154039	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_031983925.1	NZ_DALYZR010000009.1	75810	80613	1150.0000	0	0	1	0	1	0	0	0	0	0	0	0	0
GCF_031983925.1	NZ_DALYZR010000001.1	8235	12100	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_019037495.1	NZ_JAHHYA010000001.1	729549	731878	1187.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_025518085.1	NZ_JAOPRR010000026.1	69350	73215	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_036218625.1	NZ_JARMPS010000040.1	34300	38165	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_002025415.1	NZ_MVKF01000005.1	111358	115223	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_051916855.1	NZ_JBQAHL010000007.1	108319	112184	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_002556825.1	NZ_NUAQ01000016.1	20372	24237	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_002565605.1	NZ_NUXK01000025.1	125664	129529	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_050627815.1	NZ_JBNTLN010000007.1	24319	28184	1201.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_050456585.1	NZ_JBCMHS010000004.1	63888	67753	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_040815695.1	NZ_JBFPNO010000001.1	866198	870063	1200.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_022664115.1	NZ_JAKUGU010000034.1	38014	41879	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_036851515.1	NZ_JAFLOT010000001.1	1287579	1291444	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_001932005.1	NZ_MSBQ01000003.1	83811	87676	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_001884185.1	NZ_MAOE01000121.1	124619	128484	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_038005545.1	NZ_JBBOTJ010000001.1	893072	896937	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_022427965.1	NZ_JAKTTI010000035.1	21062	24957	1315.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_023715265.1	NZ_JAMBNU010000019.1	24006	27895	1264.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_000167275.1	NZ_AAEP01000030.3	25362	29227	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_041531115.1	NZ_JBFDUH010000006.1	151777	155642	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_015712725.1	NZ_VWVP01000032.1	540969	544834	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_020686025.1	NZ_JAJESM010000024.1	59739	63604	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_015845495.1	NZ_LDHO01000043.1	128238	132103	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_050469345.1	NZ_JBCNRY010000035.1	106987	110852	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_045277205.1	NZ_CP117702.1	1392578	1396443	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_050820025.1	NZ_CP139112.1	2363	6228	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_050563315.1	NZ_JBNXSN010000022.1	15475	19340	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_000783015.1	NZ_JSZT01000032.1	35711	39576	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_015844715.1	NZ_LDGE01000012.1	263859	266188	1187.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_013267475.1	NZ_CP053997.1	1912893	1916758	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_040797025.1	NZ_JBFNPP010000011.1	11424	15289	1201.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_038007425.1	NZ_JBBOXD010000001.1	2320766	2324631	1222.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_000399425.1	NZ_KB976677.1	496785	500650	1201.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_050478265.1	NZ_JBCNAV010000014.1	244985	248850	1200.0000	0	0	0	0	1	1	0	0	0	0	0	0	0
