db_id	query	scaff	strand	coords	db	crossref_id	crossref_method	name	taxon_name	taxon_id	evalue	score	seqid	qcov	tcov
WP_446246596.1	WP_020634196.1	NZ_CM128249.1	+	1759232..1761178	local_clustered	WP_446246596.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_052828565.1	3463856	1.285e-20	972	19.4	96.2	66.0
WP_214483792.1	WP_020634196.1	NZ_JAEUFG010000022.1	+	43059..44342	local_clustered	WP_214483792.1	local_clustered	YcaO-like family protein	GCF_018588585.1	2805366	1.545e-32	1481	30.7	96.5	98.8
WP_214483793.1	WP_020634195.1	NZ_JAEUFG010000022.1	+	44305..45012	local_clustered	WP_214483793.1	local_clustered	TfuA-like protein	GCF_018588585.1	2805366	4.866e-18	774	29.9	97.3	90.60000000000001
WP_427416292.1	WP_020634195.1	NZ_JBNNUX010000028.1	-	39929..40633	local_clustered	WP_427416292.1	local_clustered	TfuA-like protein	GCF_050280145.1	3390577	3.197e-18	781	29.1	98.6	94.39999999999999
WP_427416293.1	WP_020634196.1	NZ_JBNNUX010000028.1	-	40596..41879	local_clustered	WP_427416293.1	local_clustered	YcaO-like family protein	GCF_050280145.1	3390577	3.661e-32	1465	31.4	95.8	99.1
WP_053363413.1	WP_020634193.1	NZ_LIGG01000001.1	-	3852859..3853623	local_clustered	WP_053363413.1	local_clustered	glucose 1-dehydrogenase	GCF_001273925.1	1684142	4.617e-14	620	17.5	87.5	94.5
WP_053363415.1	WP_020634193.1	NZ_LIGG01000001.1	+	3856327..3857061	local_clustered	WP_053363415.1	local_clustered	glucose 1-dehydrogenase	GCF_001273925.1	1684142	3.364e-13	587	17.9	87.9	96.7
WP_053363419.1	WP_020634196.1	NZ_LIGG01000001.1	-	3861073..3863010	local_clustered	WP_053363419.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_001273925.1	1684142	2.455e-20	960	19.2	96.89999999999999	66.7
WP_139859881.1	WP_020634193.1	NZ_CP085880.1	+	927579..928340	local_clustered	WP_139859881.1	local_clustered	3-hydroxybutyrate dehydrogenase	GCF_006351725.2	2892541	4.28e-13	583	16.7	91.5	99.6
WP_173477959.1	WP_020634193.1	NZ_CP085880.1	+	930917..931684	local_clustered	WP_173477959.1	local_clustered	2%2C4-dienoyl-CoA reductase	GCF_006351725.2	2892541	2.529e-14	630	20.1	87.9	95.3
WP_173477953.1	WP_020634196.1	NZ_CP085880.1	+	935702..936916	local_clustered	WP_173477953.1	local_clustered	YcaO-like family protein	GCF_006351725.2	2892541	5.223e-20	946	16.8	93.8	97.8
WP_337981978.1	WP_020634196.1	NZ_CP065546.1	-	1875374..1876588	local_clustered	WP_337981978.1	local_clustered	YcaO-like family protein	GCF_015999545.1	2792480	5.223e-20	946	16.8	93.8	97.8
WP_173477959.1	WP_020634193.1	NZ_CP065546.1	-	1880604..1881371	local_clustered	WP_173477959.1	local_clustered	2%2C4-dienoyl-CoA reductase	GCF_015999545.1	2792480	2.529e-14	630	20.1	87.9	95.3
WP_337982208.1	WP_020634193.1	NZ_CP065546.1	-	1883017..1883778	local_clustered	WP_337982208.1	local_clustered	3-hydroxybutyrate dehydrogenase	GCF_015999545.1	2792480	4.28e-13	583	16.7	91.5	99.6
WP_402889482.1	WP_020634193.1	NZ_JBIWDA010000002.1	+	13536..14297	local_clustered	WP_402889482.1	local_clustered	3-hydroxybutyrate dehydrogenase	GCF_044761745.1	3364143	4.28e-13	583	16.7	91.5	99.6
WP_402888618.1	WP_020634193.1	NZ_JBIWDA010000002.1	+	17764..18531	local_clustered	WP_402888618.1	local_clustered	2%2C4-dienoyl-CoA reductase	GCF_044761745.1	3364143	2.529e-14	630	20.1	87.9	95.3
WP_402888626.1	WP_020634196.1	NZ_JBIWDA010000002.1	+	22552..23766	local_clustered	WP_402888626.1	local_clustered	YcaO-like family protein	GCF_044761745.1	3364143	5.223e-20	946	16.8	93.8	97.8
WP_418201569.1	WP_020634193.1	NZ_JBLWFS010000031.1	-	9074..9976	local_clustered	WP_418201569.1	local_clustered	oxidoreductase	GCF_048323755.1	3402081	7.627e-23	956	27.8	97.2	95.3
WP_418201573.1	WP_020634193.1	NZ_JBLWFS010000031.1	+	14202..14822	local_clustered	WP_418201573.1	local_clustered	NAD(P)-dependent oxidoreductase	GCF_048323755.1	3402081	0.0005665	234	13.3	68.30000000000001	75.7
WP_418201579.1	WP_020634196.1	NZ_JBLWFS010000031.1	-	19819..21759	local_clustered	WP_418201579.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_048323755.1	3402081	1.875e-20	965	19.9	98.9	68.10000000000001
WP_340826138.1	WP_020634196.1	NZ_JBBOZQ010000001.1	-	4419355..4420572	local_clustered	WP_340826138.1	local_clustered	YcaO-like family protein	GCF_038008685.1	2954643	8.04e-20	938	16.7	93.8	97.8
WP_340826147.1	WP_020634193.1	NZ_JBBOZQ010000001.1	-	4424629..4425396	local_clustered	WP_340826147.1	local_clustered	2%2C4-dienoyl-CoA reductase	GCF_038008685.1	2954643	2.529e-14	630	20.1	87.9	95.3
WP_340826532.1	WP_020634193.1	NZ_JBBOZQ010000001.1	-	4427887..4428648	local_clustered	WP_340826532.1	local_clustered	3-hydroxybutyrate dehydrogenase	GCF_038008685.1	2954643	4.28e-13	583	16.7	91.5	99.6
WP_401009645.1	WP_020634196.1	NZ_JBIVOE010000002.1	-	609582..610799	local_clustered	WP_401009645.1	local_clustered	YcaO-like family protein	GCF_044753985.1	3364133	8.04e-20	938	16.7	93.8	97.8
WP_401009651.1	WP_020634193.1	NZ_JBIVOE010000002.1	-	614852..615619	local_clustered	WP_401009651.1	local_clustered	2%2C4-dienoyl-CoA reductase	GCF_044753985.1	3364133	2.529e-14	630	20.1	87.9	95.3
WP_401009881.1	WP_020634193.1	NZ_JBIVOE010000002.1	-	619085..619846	local_clustered	WP_401009881.1	local_clustered	3-hydroxybutyrate dehydrogenase	GCF_044753985.1	3364133	4.28e-13	583	16.7	91.5	99.6
WP_340826532.1	WP_020634193.1	NZ_JBIVOH010000008.1	+	170784..171545	local_clustered	WP_340826532.1	local_clustered	3-hydroxybutyrate dehydrogenase	GCF_044754025.1	3364132	4.28e-13	583	16.7	91.5	99.6
WP_401021363.1	WP_020634193.1	NZ_JBIVOH010000008.1	+	173026..173793	local_clustered	WP_401021363.1	local_clustered	2%2C4-dienoyl-CoA reductase	GCF_044754025.1	3364132	2.529e-14	630	20.1	87.9	95.3
WP_401021371.1	WP_020634196.1	NZ_JBIVOH010000008.1	+	177831..179048	local_clustered	WP_401021371.1	local_clustered	YcaO-like family protein	GCF_044754025.1	3364132	8.04e-20	938	16.7	93.8	97.8
WP_403054791.1	WP_020634193.1	NZ_JBIWBS010000001.1	+	148773..149534	local_clustered	WP_403054791.1	local_clustered	3-hydroxybutyrate dehydrogenase	GCF_044761135.1	3364145	4.28e-13	583	16.7	91.5	99.6
WP_403048552.1	WP_020634193.1	NZ_JBIWBS010000001.1	+	152314..153081	local_clustered	WP_403048552.1	local_clustered	2%2C4-dienoyl-CoA reductase	GCF_044761135.1	3364145	2.529e-14	630	20.1	87.9	95.3
WP_403048562.1	WP_020634196.1	NZ_JBIWBS010000001.1	+	157114..158331	local_clustered	WP_403048562.1	local_clustered	YcaO-like family protein	GCF_044761135.1	3364145	8.04e-20	938	16.7	93.8	97.8
WP_402764573.1	WP_020634196.1	NZ_JBIWDT010000005.1	-	51027..52244	local_clustered	WP_402764573.1	local_clustered	YcaO-like family protein	GCF_044762185.1	3364140	8.04e-20	938	16.7	93.8	97.8
WP_401021363.1	WP_020634193.1	NZ_JBIWDT010000005.1	-	56286..57053	local_clustered	WP_401021363.1	local_clustered	2%2C4-dienoyl-CoA reductase	GCF_044762185.1	3364140	2.529e-14	630	20.1	87.9	95.3
WP_402764814.1	WP_020634193.1	NZ_JBIWDT010000005.1	-	59537..60298	local_clustered	WP_402764814.1	local_clustered	3-hydroxybutyrate dehydrogenase	GCF_044762185.1	3364140	4.28e-13	583	16.7	91.5	99.6
WP_403054791.1	WP_020634193.1	NZ_JBIWEQ010000001.1	+	148952..149713	local_clustered	WP_403054791.1	local_clustered	3-hydroxybutyrate dehydrogenase	GCF_044762625.1	3364139	4.28e-13	583	16.7	91.5	99.6
WP_403048552.1	WP_020634193.1	NZ_JBIWEQ010000001.1	+	152493..153260	local_clustered	WP_403048552.1	local_clustered	2%2C4-dienoyl-CoA reductase	GCF_044762625.1	3364139	2.529e-14	630	20.1	87.9	95.3
WP_403048562.1	WP_020634196.1	NZ_JBIWEQ010000001.1	+	157293..158510	local_clustered	WP_403048562.1	local_clustered	YcaO-like family protein	GCF_044762625.1	3364139	8.04e-20	938	16.7	93.8	97.8
WP_427429532.1	WP_020634196.1	NZ_JBNNUU010000003.1	-	453829..455046	local_clustered	WP_427429532.1	local_clustered	YcaO-like family protein	GCF_050280025.1	3390579	8.04e-20	938	16.7	93.8	97.8
WP_427429538.1	WP_020634193.1	NZ_JBNNUU010000003.1	-	459766..460533	local_clustered	WP_427429538.1	local_clustered	2%2C4-dienoyl-CoA reductase	GCF_050280025.1	3390579	2.529e-14	630	20.1	87.9	95.3
WP_427429672.1	WP_020634193.1	NZ_JBNNUU010000003.1	-	463024..463785	local_clustered	WP_427429672.1	local_clustered	3-hydroxybutyrate dehydrogenase	GCF_050280025.1	3390579	4.28e-13	583	16.7	91.5	99.6
WP_190997879.1	WP_020634193.1	NZ_JACXSI010000016.1	-	60532..61338	local_clustered	WP_190997879.1	local_clustered	7alpha-hydroxysteroid dehydrogenase	GCF_014712675.1	2772559	1.325e-15	679	16.7	95.39999999999999	98.9
WP_190997881.1	WP_020634196.1	NZ_JACXSI010000016.1	-	63897..65834	local_clustered	WP_190997881.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_014712675.1	2772559	1.218e-20	973	18.1	97.8	69.5
WP_190997882.1	WP_020634197.1	NZ_JACXSI010000016.1	-	65831..67726	local_clustered	WP_190997882.1	local_clustered	putative thiazole-containing bacteriocin maturation protein	GCF_014712675.1	2772559	0.00001267	306	13.2	76.5	51.0
WP_341331785.1	WP_020634197.1	NZ_JBBPAM010000001.1	+	3005881..3007845	local_clustered	WP_341331785.1	local_clustered	putative thiazole-containing bacteriocin maturation protein	GCF_038050315.1	2954540	0.00001907	299	10.7	94.6	63.5
WP_341331786.1	WP_020634196.1	NZ_JBBPAM010000001.1	+	3007842..3009785	local_clustered	WP_341331786.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_038050315.1	2954540	3.339e-21	997	18.5	97.1	66.8
WP_341331789.1	WP_020634193.1	NZ_JBBPAM010000001.1	+	3012653..3013432	local_clustered	WP_341331789.1	local_clustered	SDR family NAD(P)-dependent oxidoreductase	GCF_038050315.1	2954540	8.061e-15	649	20.9	87.9	96.1
WP_341331789.1	WP_020634193.1	NZ_JBQCLH010000016.1	-	242..1021	local_clustered	WP_341331789.1	local_clustered	SDR family NAD(P)-dependent oxidoreductase	GCF_051966215.1	3387275	8.061e-15	649	20.9	87.9	96.1
WP_440272956.1	WP_020634196.1	NZ_JBQCLH010000016.1	-	3889..5832	local_clustered	WP_440272956.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_051966215.1	3387275	3.339e-21	997	18.5	97.1	66.8
WP_121449440.1	WP_020634197.1	NZ_JBQCLH010000016.1	-	5829..7793	local_clustered	WP_121449440.1	local_clustered	putative thiazole-containing bacteriocin maturation protein	GCF_051966215.1	3387275	0.00001907	299	10.7	94.6	63.5
WP_239820780.1	WP_020634196.1	NZ_CP092412.1	+	733598..734821	local_clustered	WP_239820780.1	local_clustered	YcaO-like family protein	GCF_022370935.1	492670	5.029e-19	904	18.1	94.69999999999999	96.7
WP_001096887.1	WP_020634199.1	NZ_CP092412.1	+	735094..735888,3656878..3657672	local_clustered	WP_001096887.1	local_clustered	aminoglycoside O-phosphotransferase APH(3')-IIIa	GCF_022370935.1	492670	8.058e-7	407	13.4	88.3	93.2
WP_012118721.1	WP_020634193.1	NZ_CP092412.1	-	3617443..3618291	local_clustered	WP_012118721.1	local_clustered	dTDP-4-dehydrorhamnose reductase	GCF_022370935.1	492670	0.0003296	243	11.7	94.0	79.10000000000001
WP_007407684.1	WP_020634193.1	NZ_CP092412.1	-	3618312..3619259	local_clustered	WP_007407684.1	local_clustered	dTDP-glucose 4%2C6-dehydratase	GCF_022370935.1	492670	3.896e-7	355	14.8	94.0	81.3
WP_028391094.1	WP_020634193.1	NZ_KI632495.1	+	579384..580226	local_clustered	WP_028391094.1	local_clustered	SDR family oxidoreductase	GCF_000504145.1	1208599	1.539e-13	600	21.2	90.0	86.4
WP_034300935.1	WP_020634193.1	NZ_KI632495.1	-	584782..585438	local_clustered	WP_034300935.1	local_clustered	NAD(P)H-binding protein	GCF_000504145.1	1208599	0.0000877	265	13.3	95.0	98.2
WP_028391100.1	WP_020634196.1	NZ_KI632495.1	-	590390..592330	local_clustered	WP_028391100.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_000504145.1	1208599	3.163e-21	998	20.1	96.89999999999999	66.7
WP_050614950.1	WP_020634197.1	NZ_LN851186.1	+	1912229..1914184	local_clustered	WP_050614950.1	local_clustered	putative thiazole-containing bacteriocin maturation protein	GCF_001243895.1	1622072	0.0000241	295	11.0	94.1	63.6
WP_050614951.1	WP_020634196.1	NZ_LN851186.1	+	1914181..1916127	local_clustered	WP_050614951.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_001243895.1	1622072	5.725e-21	987	17.7	98.2	67.4
WP_050614953.1	WP_020634193.1	NZ_LN851186.1	-	1917915..1918781	local_clustered	WP_050614953.1	local_clustered	SDR family oxidoreductase	GCF_001243895.1	1622072	9.939e-13	569	19.4	90.4	87.8
WP_217642402.1	WP_020634193.1	NZ_FNHN01000011.1	+	47101..47874	local_clustered	WP_217642402.1	local_clustered	3-oxoacyl-ACP reductase	GCF_900103525.1	1882761	5.127e-13	580	16.8	87.9	96.89999999999999
WP_090765108.1	WP_020634196.1	NZ_FNHN01000011.1	+	50612..52558	local_clustered	WP_090765108.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_900103525.1	1882761	4.614e-21	991	20.3	98.4	68.10000000000001
WP_090765119.1	WP_020634193.1	NZ_FNHN01000011.1	+	55013..55882	local_clustered	WP_090765119.1	local_clustered	SDR family oxidoreductase	GCF_900103525.1	1882761	0.00004524	276	10.8	88.3	69.0
WP_307311374.1	WP_020634193.1	NZ_JAUSZN010000001.1	-	947416..948099	local_clustered	WP_307311374.1	local_clustered	NAD-dependent epimerase/dehydratase family protein	GCF_030817595.1	3035913	9.61e-7	340	13.8	95.0	99.1
WP_307301336.1	WP_020634196.1	NZ_JAUSZN010000001.1	-	952394..954340	local_clustered	WP_307301336.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_030817595.1	3035913	8.04e-20	938	19.6	97.6	69.1
WP_307301342.1	WP_020634193.1	NZ_JAUSZN010000001.1	-	957082..957852	local_clustered	WP_307301342.1	local_clustered	3-oxoacyl-ACP reductase	GCF_030817595.1	3035913	2.936e-12	551	17.6	87.9	96.89999999999999
WP_335717330.1	WP_020634193.1	NZ_JBALON010000279.1	+	5954..6724	local_clustered	WP_335717330.1	local_clustered	3-oxoacyl-ACP reductase	GCF_036962665.1	86668	5.127e-13	580	16.8	87.9	96.89999999999999
WP_420491885.1	WP_020634196.1	NZ_JBALON010000279.1	+	9472..11412	local_clustered	WP_420491885.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_036962665.1	86668	5.512e-20	945	20.1	97.6	69.69999999999999
WP_335717336.1	WP_020634193.1	NZ_JBALON010000279.1	+	13848..14717	local_clustered	WP_335717336.1	local_clustered	SDR family oxidoreductase	GCF_036962665.1	86668	0.00001834	291	11.2	88.3	68.5
WP_213126922.1	WP_020634196.1	NZ_JAGYPG010000005.1	+	29807..31747	local_clustered	WP_213126922.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_018343625.1	2833580	2.455e-20	960	19.2	96.89999999999999	66.7
WP_213126925.1	WP_020634199.1	NZ_JAGYPG010000005.1	+	35758..36759	local_clustered	WP_213126925.1	local_clustered	phosphotransferase enzyme family protein	GCF_018343625.1	2833580	3.402e-7	424	10.7	98.3	87.4
WP_213126926.1	WP_020634201.1	NZ_JAGYPG010000005.1	-	36979..37959	local_clustered	WP_213126926.1	local_clustered	phosphotransferase	GCF_018343625.1	2833580	0.00001071	365	12.7	86.9	93.60000000000001
WP_400434246.1	WP_020634196.1	NZ_JBIVOP010000026.1	+	55823..57760	local_clustered	WP_400434246.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_044754175.1	3364296	1.656e-21	1010	20.8	96.2	66.8
WP_400434264.1	WP_020634193.1	NZ_JBIVOP010000026.1	-	62735..63448	local_clustered	WP_400434264.1	local_clustered	SDR family NAD(P)-dependent oxidoreductase	GCF_044754175.1	3364296	2.457e-16	707	22.7	89.3	99.6
WP_307228599.1	WP_020634201.1	NZ_JAUSTT010000009.1	-	11841..12932	local_clustered	WP_307228599.1	local_clustered	hypothetical protein	GCF_030812995.1	587633	7.777e-7	418	12.1	87.2	94.19999999999999
WP_307228910.1	WP_020634197.1	NZ_JAUSTT010000009.1	-	15236..15964	local_clustered	WP_307228910.1	local_clustered	class I SAM-dependent methyltransferase	GCF_030812995.1	587633	0.0000151	303	9.0	63.0	82.19999999999999
WP_307228611.1	WP_020634196.1	NZ_JAUSTT010000009.1	-	20307..22250	local_clustered	WP_307228611.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_030812995.1	587633	5.725e-21	987	19.9	96.2	66.8
WP_307228599.1	WP_020634201.1	NZ_JBHRZQ010000013.1	-	293519..294610	local_clustered	WP_307228599.1	local_clustered	hypothetical protein	GCF_042651685.1	587633	7.777e-7	418	12.1	87.2	94.19999999999999
WP_307228910.1	WP_020634197.1	NZ_JBHRZQ010000013.1	-	296914..297642	local_clustered	WP_307228910.1	local_clustered	class I SAM-dependent methyltransferase	GCF_042651685.1	587633	0.0000151	303	9.0	63.0	82.19999999999999
WP_307228611.1	WP_020634196.1	NZ_JBHRZQ010000013.1	-	301962..303905	local_clustered	WP_307228611.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_042651685.1	587633	5.725e-21	987	19.9	96.2	66.8
WP_113937725.1	WP_020634201.1	NZ_QNRN01000012.1	+	163834..164802	local_clustered	WP_113937725.1	local_clustered	aminoglycoside phosphotransferase family protein	GCF_003315125.1	1030092	1.999e-8	492	11.3	89.60000000000001	96.89999999999999
WP_113937729.1	WP_020634196.1	NZ_QNRN01000012.1	-	167823..169772	local_clustered	WP_113937729.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_003315125.1	1030092	1.455e-19	927	18.3	98.2	67.10000000000001
WP_113937730.1	WP_020634197.1	NZ_QNRN01000012.1	-	169769..171688	local_clustered	WP_113937730.1	local_clustered	putative thiazole-containing bacteriocin maturation protein	GCF_003315125.1	1030092	0.00008223	274	10.6	78.2	52.400000000000006
WP_113937725.1	WP_020634201.1	NZ_QTTY01000008.1	+	163890..164858	local_clustered	WP_113937725.1	local_clustered	aminoglycoside phosphotransferase family protein	GCF_003386775.1	1405	1.999e-8	492	11.3	89.60000000000001	96.89999999999999
WP_113937729.1	WP_020634196.1	NZ_QTTY01000008.1	-	167879..169828	local_clustered	WP_113937729.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_003386775.1	1405	1.455e-19	927	18.3	98.2	67.10000000000001
WP_113937730.1	WP_020634197.1	NZ_QTTY01000008.1	-	169825..171744	local_clustered	WP_113937730.1	local_clustered	putative thiazole-containing bacteriocin maturation protein	GCF_003386775.1	1405	0.00008223	274	10.6	78.2	52.400000000000006
WP_404491162.1	WP_020634197.1	NZ_JBIYCT010000003.1	+	298758..300677	local_clustered	WP_404491162.1	local_clustered	putative thiazole-containing bacteriocin maturation protein	GCF_044907945.1	3156285	0.00008223	274	10.6	78.2	52.400000000000006
WP_404491163.1	WP_020634196.1	NZ_JBIYCT010000003.1	+	300674..302623	local_clustered	WP_404491163.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_044907945.1	3156285	1.455e-19	927	18.3	98.2	67.10000000000001
WP_113937725.1	WP_020634201.1	NZ_JBIYCT010000003.1	-	305644..306612	local_clustered	WP_113937725.1	local_clustered	aminoglycoside phosphotransferase family protein	GCF_044907945.1	3156285	1.999e-8	492	11.3	89.60000000000001	96.89999999999999
WP_113937725.1	WP_020634201.1	NZ_JBIYCW010000012.1	+	53997..54965	local_clustered	WP_113937725.1	local_clustered	aminoglycoside phosphotransferase family protein	GCF_044908115.1	3156288	1.999e-8	492	11.3	89.60000000000001	96.89999999999999
WP_113937729.1	WP_020634196.1	NZ_JBIYCW010000012.1	-	57986..59935	local_clustered	WP_113937729.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_044908115.1	3156288	1.455e-19	927	18.3	98.2	67.10000000000001
WP_113937730.1	WP_020634197.1	NZ_JBIYCW010000012.1	-	59932..61851	local_clustered	WP_113937730.1	local_clustered	putative thiazole-containing bacteriocin maturation protein	GCF_044908115.1	3156288	0.00008223	274	10.6	78.2	52.400000000000006
WP_113937730.1	WP_020634197.1	NZ_JBNNVF010000001.1	+	1083823..1085742	local_clustered	WP_113937730.1	local_clustered	putative thiazole-containing bacteriocin maturation protein	GCF_050280405.1	1405	0.00008223	274	10.6	78.2	52.400000000000006
WP_113937729.1	WP_020634196.1	NZ_JBNNVF010000001.1	+	1085739..1087688	local_clustered	WP_113937729.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_050280405.1	1405	1.455e-19	927	18.3	98.2	67.10000000000001
WP_113937725.1	WP_020634201.1	NZ_JBNNVF010000001.1	-	1090709..1091677	local_clustered	WP_113937725.1	local_clustered	aminoglycoside phosphotransferase family protein	GCF_050280405.1	1405	1.999e-8	492	11.3	89.60000000000001	96.89999999999999
WP_338786213.1	WP_020634193.1	NZ_CP147403.1	+	3471690..3472448	local_clustered	WP_338786213.1	local_clustered	SDR family NAD(P)-dependent oxidoreductase	GCF_037201795.1	3117747	4.224e-16	698	21.1	87.5	96.0
WP_338786217.1	WP_020634196.1	NZ_CP147403.1	+	3476392..3478338	local_clustered	WP_338786217.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_037201795.1	3117747	2.591e-20	959	17.8	96.2	66.0
WP_099363270.1	WP_020634196.1	NZ_NSEB01000011.1	+	17186..19129	local_clustered	WP_099363270.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_002734215.1	1571209	3.339e-21	997	18.5	97.1	66.8
WP_099362907.1	WP_020634193.1	NZ_NSEB01000011.1	+	21325..22104	local_clustered	WP_099362907.1	local_clustered	SDR family NAD(P)-dependent oxidoreductase	GCF_002734215.1	1571209	8.061e-15	649	20.9	87.9	96.1
WP_388035677.1	WP_020634193.1	NZ_JBHUEK010000007.1	-	423435..424214	local_clustered	WP_388035677.1	local_clustered	SDR family NAD(P)-dependent oxidoreductase	GCF_042680725.1	2595041	8.061e-15	649	20.9	87.9	96.1
WP_304220198.1	WP_020634196.1	NZ_JBHUEK010000007.1	-	426347..428290	local_clustered	WP_304220198.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_042680725.1	2595041	3.339e-21	997	18.5	97.1	66.8
WP_402874229.1	WP_020634193.1	NZ_JBIWCZ010000001.1	-	987753..988514	local_clustered	WP_402874229.1	local_clustered	SDR family oxidoreductase	GCF_044761765.1	3364401	2.278e-15	670	21.3	88.3	96.8
WP_402987405.1	WP_020634196.1	NZ_JBIWCZ010000001.1	-	991207..993123	local_clustered	WP_402987405.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_044761765.1	3364401	1.432e-20	970	21.0	96.89999999999999	68.8
WP_402874219.1	WP_020634196.1	NZ_JBIWDN010000007.1	+	108797..110731	local_clustered	WP_402874219.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_044762045.1	3364398	1.432e-20	970	21.0	96.89999999999999	68.8
WP_402874229.1	WP_020634193.1	NZ_JBIWDN010000007.1	+	114408..115169	local_clustered	WP_402874229.1	local_clustered	SDR family oxidoreductase	GCF_044762045.1	3364398	2.278e-15	670	21.3	88.3	96.8
WP_402957359.1	WP_020634196.1	NZ_JBIWDO010000005.1	+	208963..210897	local_clustered	WP_402957359.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_044762055.1	3364397	1.432e-20	970	21.0	96.89999999999999	68.8
WP_402957365.1	WP_020634193.1	NZ_JBIWDO010000005.1	+	214404..215165	local_clustered	WP_402957365.1	local_clustered	SDR family oxidoreductase	GCF_044762055.1	3364397	2.278e-15	670	21.3	88.3	96.8
WP_402874229.1	WP_020634193.1	NZ_JBNNML010000001.1	-	345842..346603	local_clustered	WP_402874229.1	local_clustered	SDR family oxidoreductase	GCF_050272735.1	3390607	2.278e-15	670	21.3	88.3	96.8
WP_427590988.1	WP_020634196.1	NZ_JBNNML010000001.1	-	349085..351001	local_clustered	WP_427590988.1	local_clustered	TOMM precursor leader peptide-binding protein	GCF_050272735.1	3390607	1.432e-20	970	21.0	96.89999999999999	68.8
